name,rating,reviews,salary,interviews,jobs,benefits
Ambuja Cements,3.9,3300.0,8800.0,260.0,28.0,312.0
S&P Global,3.9,3300.0,21600.0,342.0,111.0,229.0
Varroc Group,3.6,3200.0,9900.0,230.0,22.0,251.0
Societe Generale Global Solution Centre,3.6,3200.0,23700.0,308.0,16.0,307.0
Quest Global,3.5,3200.0,22700.0,378.0,226.0,211.0
Dilip Buildcon,3.9,3200.0,8000.0,199.0,7.0,297.0
MSN Laboratories,3.6,3200.0,10200.0,183.0,19.0,166.0
Allcargo Logistics,3.8,3200.0,6800.0,144.0,9.0,332.0
Ola Electric Mobility,3.3,3200.0,9900.0,320.0,1.0,100.0
ESAF Small Finance Bank,3.6,3200.0,8400.0,187.0,21.0,115.0
Walmart,3.5,3200.0,25300.0,455.0,195.0,324.0
IDFC FIRST Bharat,4.1,3200.0,5200.0,169.0,5.0,94.0
Afcons Infrastructure,4.2,3200.0,8800.0,285.0,48.0,325.0
DS Group,4.0,3200.0,8100.0,242.0,25.0,234.0
Torrent Pharmaceuticals,4.0,3200.0,10600.0,185.0,33.0,332.0
Zepto,3.6,3200.0,11800.0,499.0,49.0,73.0
Bharat Financial Inclusion,3.7,3200.0,5600.0,131.0,6.0,185.0
Suzlon Group,4.0,3100.0,7900.0,191.0,36.0,335.0
Marpu Foundation,4.9,3100.0,61.0,266.0,,8.0
Tata Elxsi,3.4,3100.0,24600.0,350.0,82.0,215.0
Indus Towers,3.6,3100.0,9600.0,241.0,63.0,225.0
Zensar Technologies,3.6,3100.0,26000.0,292.0,384.0,254.0
Eternal Limited,3.6,3100.0,15800.0,375.0,8.0,231.0
HDFC Sales,3.9,3100.0,8400.0,202.0,29.0,190.0
Square Yards,3.5,3100.0,9800.0,247.0,57.0,238.0
Fujitsu,3.8,3100.0,18000.0,215.0,83.0,208.0
VVDN Technologies,3.6,3100.0,14600.0,272.0,26.0,138.0
Yazaki,3.9,3100.0,9400.0,203.0,31.0,284.0
I Process Services,3.8,3100.0,5500.0,144.0,3.0,118.0
IKS Health,3.5,3100.0,11900.0,280.0,28.0,243.0
CMS IT Services,3.1,3100.0,9100.0,161.0,50.0,190.0
ACC,3.9,3000.0,9200.0,243.0,,273.0
Future Group,4.3,3000.0,6100.0,86.0,,400.0
Shree Cement,3.8,3000.0,10400.0,249.0,21.0,231.0
Nokia,4.0,3000.0,17700.0,337.0,8.0,554.0
Shoppers Stop,3.9,3000.0,7100.0,152.0,61.0,320.0
Apollo Tyres,4.0,3000.0,10200.0,160.0,20.0,337.0
Physicswallah,3.6,3000.0,10100.0,322.0,412.0,83.0
Fiserv,2.7,3000.0,17600.0,204.0,19.0,325.0
Exl India,3.5,3000.0,19500.0,142.0,2.0,194.0
Britannia,4.0,2900.0,8700.0,252.0,46.0,257.0
Foxconn,3.8,2900.0,12700.0,264.0,14.0,144.0
Landmark Group,3.8,2900.0,9700.0,182.0,5.0,272.0
SRF,4.1,2900.0,9500.0,217.0,17.0,262.0
Dalmia Bharat Cement,3.9,2900.0,6200.0,211.0,1.0,254.0
ZS,3.0,2900.0,22800.0,542.0,77.0,281.0
Kansai Nerolac Paints,3.8,2900.0,8400.0,202.0,61.0,194.0
Star Health & Allied Insurance,3.5,2900.0,10900.0,166.0,43.0,176.0
Nestlé,3.7,2900.0,10200.0,298.0,31.0,313.0
Blue Dart Express Ltd,3.9,2900.0,7100.0,140.0,9.0,240.0
Exide Industries,3.4,2900.0,9200.0,227.0,67.0,243.0
Shell,3.9,2800.0,14500.0,244.0,42.0,261.0
UnitedHealth,4.0,2800.0,13200.0,84.0,,434.0
Micro Labs,3.6,2800.0,10100.0,158.0,19.0,208.0
TVS Supply Chain Solutions,3.8,2800.0,8600.0,172.0,18.0,195.0
KPMG Global Services,3.5,2800.0,24800.0,278.0,25.0,19.0
Flex,3.9,2800.0,15400.0,218.0,50.0,440.0
Gallagher,3.6,2800.0,15200.0,287.0,38.0,147.0
Care Health Insurance,3.5,2800.0,9300.0,173.0,27.0,182.0
Photon Interactive,4.1,2800.0,7800.0,144.0,897.0,116.0
Tata Advanced Systems,3.7,2800.0,13500.0,200.0,9.0,159.0
Blue Star,4.0,2800.0,10200.0,210.0,302.0,257.0
ElasticRun,3.6,2800.0,6800.0,282.0,10.0,226.0
KFintech,3.3,2800.0,11500.0,181.0,20.0,59.0
Movate,3.1,2800.0,15700.0,300.0,133.0,16.0
G4S,4.1,2700.0,5200.0,142.0,878.0,242.0
Sonalika Tractors,3.5,2700.0,9400.0,180.0,1.0,186.0
Ajanta Pharma,3.9,2700.0,9300.0,173.0,24.0,232.0
Voltas,4.0,2700.0,8800.0,181.0,31.0,262.0
Capita,3.5,2700.0,12300.0,169.0,24.0,322.0
DBS Bank,3.7,2700.0,13500.0,212.0,419.0,197.0
Adani Power,3.8,2700.0,10300.0,342.0,,181.0
ACT Fibernet,3.8,2700.0,8000.0,170.0,219.0,267.0
NoBroker,3.0,2700.0,11400.0,294.0,482.0,366.0
GAO Tek,4.4,2700.0,269.0,785.0,,141.0
Himalaya Wellness,3.9,2700.0,6200.0,158.0,170.0,263.0
IntouchCX,2.7,2700.0,10900.0,245.0,61.0,165.0
BlackBuck,3.7,2700.0,6500.0,226.0,47.0,244.0
Whitehat jr,3.3,2700.0,8600.0,266.0,,926.0
Foundever,3.3,2700.0,9500.0,199.0,88.0,217.0
Fortis Healthcare,4.1,2700.0,7900.0,199.0,1500.0,152.0
Laurus Labs,4.3,2700.0,7500.0,164.0,5.0,231.0
Domino's Pizza,3.9,2700.0,4400.0,146.0,,397.0
BT Group,3.8,2700.0,12300.0,237.0,19.0,289.0
JCB,3.8,2600.0,10100.0,184.0,,250.0
V-Mart,4.0,2600.0,4600.0,206.0,10.0,226.0
Adani Group,3.8,2600.0,12200.0,326.0,743.0,128.0
CorroHealth Infotech,3.5,2600.0,8300.0,291.0,57.0,22.0
Alldigi Tech,3.8,2600.0,7600.0,240.0,1.0,116.0
Sahrudaya Healthcare (Medicover Hospitals),4.3,2600.0,3700.0,147.0,44.0,1.0
Northern Trust Operating Services,3.6,2600.0,18100.0,247.0,149.0,230.0
Sterlite Technologies,3.8,2600.0,10000.0,192.0,133.0,212.0
ICICI Securities,3.9,2600.0,9900.0,202.0,56.0,199.0
Tractors and Farm Equipment,4.0,2600.0,8600.0,140.0,50.0,286.0
TaskUs,2.9,2600.0,10700.0,240.0,172.0,142.0
Bajaj Electricals,3.9,2600.0,7400.0,162.0,45.0,291.0
Parle Agro,3.9,2600.0,7100.0,157.0,9.0,226.0
Emcure Pharmaceuticals,3.6,2500.0,8900.0,138.0,94.0,253.0
Biocon Limited,4.0,2500.0,11600.0,193.0,15.0,19.0
Hero FinCorp,3.9,2500.0,5900.0,125.0,93.0,131.0
Cadila Pharmaceuticals,3.1,2500.0,8300.0,176.0,99.0,186.0
Planet Spark,3.8,2500.0,3900.0,608.0,61.0,207.0
Mahindra Holidays & Resorts,3.5,2500.0,5900.0,136.0,60.0,201.0
Newgen Software Technologies,4.1,2500.0,11800.0,212.0,36.0,152.0
Intellect Design Arena,3.5,2500.0,14300.0,185.0,26.0,118.0
Syngene International,3.7,2500.0,12900.0,194.0,6.0,225.0
Team Computers,3.8,2500.0,8900.0,229.0,187.0,166.0
Mahindra Rural Housing Finance,4.0,2500.0,4900.0,110.0,11.0,179.0
Datamatics Global Services,3.4,2500.0,11700.0,184.0,79.0,178.0
McDonald's,3.8,2500.0,5000.0,165.0,1.0,404.0
Bureau Veritas,3.8,2500.0,8600.0,150.0,36.0,190.0
RMSI,3.5,2500.0,9200.0,203.0,8.0,196.0
Paras Hospital,4.1,2500.0,3300.0,111.0,94.0,128.0
Patanjali Ayurved,4.0,2500.0,5900.0,142.0,,241.0
Cholamandalam MS General Insurance,3.7,2500.0,6000.0,119.0,,173.0
3i Infotech,3.4,2500.0,10700.0,173.0,86.0,153.0
Info Edge,3.8,2400.0,11600.0,389.0,405.0,308.0
Aavas Financiers,3.9,2400.0,5800.0,129.0,79.0,138.0
Delhi Public School,3.7,2400.0,5400.0,167.0,154.0,267.0
Taj Hotels Resorts and Palaces,4.2,2400.0,5000.0,166.0,,185.0
TCE,3.9,2400.0,10500.0,307.0,26.0,190.0
Lodha,4.2,2400.0,9300.0,187.0,198.0,187.0
Apollo Pharmacy,3.7,2400.0,7600.0,211.0,1100.0,139.0
Statestreet HCL Services,3.4,2400.0,12400.0,222.0,,202.0
Capgemini Engineering,3.3,2400.0,12900.0,412.0,,145.0
Sopra Steria,3.9,2400.0,14300.0,192.0,160.0,245.0
Kia India,3.9,2400.0,8500.0,186.0,97.0,174.0
